@relation .//99.1x1.arff

@attribute ID string
@attribute tesis {0,1}
@attribute linkedin {0,1}
@attribute publication {0,1}
@attribute email {0,1}
@attribute world_nat {0,1}
@attribute latin_nat {0,1}
@attribute name_in_http {0,1}
@attribute cv {0,1}
@attribute degree {0,1}
@attribute prof {0,1}
@attribute bio {0,1}
@attribute accro {0,1}
@attribute city {0,1}
@attribute country {0,1}
@attribute org {0,1}
@attribute feature_count {0,1,2,3,4,5,6,7,8,9}
@attribute class {0,1,2}

@data
2268646,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2268647,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0
2268650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268651,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
2268653,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0
2268656,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
2268657,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268659,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268661,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
2268662,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268663,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268666,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,2
2268667,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,4,0
2268668,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
2268669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2268670,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
2268671,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268672,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2
2268674,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0
2268675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2268678,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2268684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268685,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2268691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268695,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1
2268697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268699,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0
2268702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2268703,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,4,2
2268704,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0
2268705,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0
2268707,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0
2268708,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2268713,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2
2268718,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,2
2268721,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,0
2268722,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0
2268723,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
2268724,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,4,0
2268726,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2268729,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,0
2268731,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,2
2268738,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,2
2268741,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0
2268742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2268743,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
2268748,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
